Country,Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bahrain,BHR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,8537.72,9269.27,9446.08,9421.36,9590.54,8706.77,7041.63,7554.93,7958.75,8031.00,8529.05,9055.64,9082.83,9698.15,10130.38,10376.95,10544.79,10672.24,10076.27,10401.56,13636.42,12868.18,13049.91,14222.04,15846.51,17959.40,19307.51,20976.44,23066.45,19355.92,20722.07,22514.20,23654.37,24744.30,24989.44,22634.09,22608.45,23742.94,24085.96,23551.93,20409.95
"Bahamas, The",BHS,1550.27,1651.32,1752.84,1867.01,1994.44,2144.74,2322.71,2556.63,2804.33,3215.15,3178.86,3297.41,3322.22,3696.03,3416.44,3156.25,3328.62,3617.45,4131.39,5533.25,6340.79,6624.99,7168.16,7698.08,8877.71,9893.04,10344.32,11156.56,11387.71,12163.44,12356.23,11919.83,11686.74,11406.86,11814.43,12238.60,12708.64,22036.10,23514.18,26130.01,27098.16,27486.24,28867.08,28327.81,28396.01,30279.39,30713.80,31472.29,30627.33,28552.52,28443.89,28005.91,29485.86,28583.02,30065.16,31776.06,31732.92,32376.51,33290.03,33799.42,25194.03
Bosnia and Herzegovina,BIH,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,319.01,487.48,740.10,982.80,1102.39,1251.75,1484.18,1544.60,1789.86,2258.95,2698.47,2980.60,3416.51,4193.37,5090.95,4714.69,4635.51,5092.55,4777.07,5129.66,5330.36,4729.69,4994.97,5394.27,6070.35,6119.76,6079.74
Belarus,BLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2124.77,null,null,null,1739.81,1323.27,1452.51,1394.51,1515.53,1212.05,1276.49,1244.37,1479.31,1819.77,2378.62,3125.81,3847.43,4735.66,6377.37,5352.58,6033.69,6527.17,6953.13,7998.13,8341.40,5967.05,5039.68,5785.67,6360.06,6837.72,6424.15
Belize,BLZ,304.90,316.41,327.10,336.94,351.16,377.59,406.09,420.38,386.94,396.63,435.68,474.44,519.56,605.93,786.08,885.96,717.06,858.82,980.75,1074.29,1373.22,1328.77,1202.79,1232.85,1337.04,1289.39,1366.04,1612.33,1788.00,2011.95,2197.16,2326.72,2668.53,2834.69,2882.15,2997.76,3003.18,2954.23,2993.03,3066.10,3364.49,3404.42,3526.08,3650.61,3802.26,3885.03,4155.32,4252.40,4404.31,4186.52,4270.78,4423.50,4505.60,4568.64,4718.44,4770.23,4856.97,4945.86,5001.42,5078.81,4115.18
Bermuda,BMU,1902.40,1961.54,2020.39,2020.27,2199.73,2282.22,2630.85,2982.75,2830.19,3053.70,3387.27,3866.30,4343.17,5009.29,5853.93,6509.43,7261.28,8370.79,8876.87,9613.38,11218.22,13425.98,14166.17,15902.02,17469.83,18269.54,20450.66,22411.80,24253.18,25517.92,26841.52,27700.31,28669.68,30900.69,31476.06,33989.72,44826.79,48478.88,51371.74,54245.46,56284.17,58883.96,62583.10,66111.73,70359.32,75882.03,95221.86,104287.39,106935.49,101407.76,101875.28,97774.16,98431.87,99471.64,98467.68,102005.63,106885.88,111820.58,113023.19,117098.45,107079.48
Bolivia,BOL,102.24,109.06,116.92,123.43,136.31,149.64,162.33,179.58,199.63,211.80,226.81,239.13,268.58,263.89,429.30,480.80,534.27,617.31,703.14,809.41,811.29,1030.83,960.98,913.97,1019.06,870.19,627.40,671.08,698.69,701.67,709.06,762.08,788.15,784.19,801.05,880.99,950.86,998.52,1049.50,1003.39,997.58,948.87,904.23,907.54,967.41,1034.31,1218.87,1372.63,1715.21,1754.21,1955.46,2346.34,2609.88,2908.20,3081.88,3035.97,3076.66,3351.12,3548.59,3552.07,3133.10
Brazil,BRA,null,232.48,251.35,295.63,258.61,269.46,330.04,353.11,375.39,400.79,445.02,501.32,585.17,817.45,1048.60,1205.07,1395.10,1568.54,1739.72,1877.68,1966.90,2088.00,2144.80,1465.11,1422.68,1558.91,1857.09,2009.04,2146.76,2371.57,2622.26,2259.24,2127.51,2348.09,3295.24,4748.39,5166.16,5282.05,5087.08,3479.84,3749.91,3160.25,2839.49,3070.44,3637.31,4790.46,5886.39,7348.19,8831.18,8597.79,11286.07,13245.39,12370.22,12300.39,12112.83,8813.99,8710.06,9928.68,9151.38,8897.55,6796.84
Barbados,BRB,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1274.55,1633.82,1760.66,1988.90,2209.77,2667.08,4010.81,4398.82,4580.97,4851.10,5271.73,5500.41,6019.65,6605.78,6999.88,7717.18,7711.30,7714.74,7444.18,7819.57,8121.56,8335.90,8851.05,9315.97,10459.44,10914.28,11268.42,11209.42,11361.52,11699.37,12512.58,13822.74,15199.57,16770.66,17092.58,15885.41,16056.37,16458.35,16249.67,16451.28,16489.07,16524.90,16900.05,17391.67,17745.26,18148.50,15373.85
Brunei Darussalam,BRN,null,null,null,null,null,1113.78,1237.56,1236.42,1364.07,1304.34,1382.54,1455.89,1906.97,2916.13,6923.22,7228.04,8461.89,9917.30,10715.18,14945.84,25422.04,21828.12,20693.82,18129.24,17337.03,15699.57,10214.03,11594.57,11009.26,11872.73,13607.89,13905.17,15274.67,14575.57,14120.95,15933.45,16793.39,16660.15,12694.15,14101.17,18012.50,16472.00,16850.39,18560.50,21902.03,26105.42,30979.96,32663.39,37934.68,27956.01,35270.64,47055.96,47739.56,44740.86,41725.87,31164.04,27158.41,28571.61,31628.48,31085.96,27442.95
